zip	city	state_id	population
21536	Grantsville	MD	3984
21538	Kitzmiller	MD	525
21539	Lonaconing	MD	2664
21540	Luke	MD	90
21541	McHenry	MD	1536
21542	Midland	MD	678
21543	Midlothian	MD	229
21545	Mount Savage	MD	1771
21550	Oakland	MD	14327
21555	Oldtown	MD	1501
21557	Rawlings	MD	1592
21561	Swanton	MD	2392
21562	Westernport	MD	3426
21601	Easton	MD	23338
21607	Barclay	MD	770
21610	Betterton	MD	412
21612	Bozman	MD	597
21613	Cambridge	MD	17115
21617	Centreville	MD	10534
21619	Chester	MD	5789
21620	Chestertown	MD	12989
21622	Church Creek	MD	704
21623	Church Hill	MD	2248
21624	Claiborne	MD	115
21625	Cordova	MD	2401
21626	Crapo	MD	47
21627	Crocheron	MD	4
21628	Crumpton	MD	324
21629	Denton	MD	9464
21631	East New Market	MD	2708
21632	Federalsburg	MD	5885
21634	Fishing Creek	MD	243
21635	Galena	MD	1970
21636	Goldsboro	MD	837
21638	Grasonville	MD	5227
21639	Greensboro	MD	5410
21640	Henderson	MD	1467
21641	Hillsboro	MD	87
21643	Hurlock	MD	5956
21644	Ingleside	MD	78
21645	Kennedyville	MD	1345
21647	Mcdaniel	MD	357
21648	Madison	MD	126
21649	Marydel	MD	2204
21650	Massey	MD	296
21651	Millington	MD	2683
21652	Neavitt	MD	149
21653	Newcomb	MD	96
21654	Oxford	MD	1221
21655	Preston	MD	4763
21657	Queen Anne	MD	727
21658	Queenstown	MD	4177
21659	Rhodesdale	MD	1509
21660	Ridgely	MD	4361
21661	Rock Hall	MD	2695
21662	Royal Oak	MD	369
21663	Saint Michaels	MD	3715
21664	Secretary	MD	497
21665	Sherwood	MD	194
21666	Stevensville	MD	13463
21667	Still Pond	MD	255
21668	Sudlersville	MD	1763
21669	Taylors Island	MD	114
21671	Tilghman	MD	808
21672	Toddville	MD	149
21673	Trappe	MD	3019
21675	Wingate	MD	57
21676	Wittman	MD	367
21677	Woolford	MD	579
21678	Worton	MD	1549
21679	Wye Mills	MD	272
21701	Frederick	MD	38390
21702	Frederick	MD	41729
21703	Frederick	MD	37048
21704	Frederick	MD	16478
21705	Frederick	MD	4
21710	Adamstown	MD	4847
21711	Big Pool	MD	1139
21713	Boonsboro	MD	9979
21716	Brunswick	MD	5453
21717	Buckeystown	MD	126
21718	Burkittsville	MD	167
21719	Cascade	MD	1074
21722	Clear Spring	MD	6389
21723	Cooksville	MD	648
21727	Emmitsburg	MD	6965
21733	Fairplay	MD	988
21734	Funkstown	MD	840
21737	Glenelg	MD	2476
21738	Glenwood	MD	3861
21740	Hagerstown	MD	60922
21742	Hagerstown	MD	33425
21746	Hagerstown	MD	3036
21750	Hancock	MD	3787
21754	Ijamsville	MD	7117
21755	Jefferson	MD	5745
21756	Keedysville	MD	2912
21757	Keymar	MD	2753
21758	Knoxville	MD	4616
21762	Libertytown	MD	131
21766	Little Orleans	MD	660
21767	Maugansville	MD	694
21769	Middletown	MD	11868
21770	Monrovia	MD	6145
